,Marque,Modele,Prix Comme neuf,Prix tres bon etat,Prix marque/raye,Prix ecran casse,URL landing page produit,Capacite
121,Apple,iPhone XR,188,188,135,23,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XR-64Go-7233,64Go
122,Apple,iPhone XR,217,217,158,23,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XR-128Go-7237,128Go
123,Apple,iPhone XR,217,217,158,23,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XR-256Go-7241,256Go
124,Apple,iPhone XS,179,179,121,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS-64Go-7257,64Go
125,Apple,iPhone XS,199,199,141,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS-256Go-7261,256Go
126,Apple,iPhone XS,223,223,164,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS-512Go-7265,512Go
127,Apple,iPhone XS Max,223,223,152,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS Max-64Go-7281,64Go
128,Apple,iPhone XS Max,246,246,176,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS Max-256Go-7285,256Go
129,Apple,iPhone XS Max,246,246,176,35,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone XS Max-512Go-7289,512Go
130,Google,Pixel 4,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4-64Go-7305,64Go
131,Google,Pixel 4,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4-128Go-7309,128Go
132,Google,Pixel 4 XL,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4 XL-64Go-7321,64Go
133,Google,Pixel 4 XL,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4 XL-128Go-7325,128Go
134,Google,Pixel 4 XL,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4 XL-64Go-7337,64Go
135,Google,Pixel 4 XL,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 4 XL-128Go-7341,128Go
136,Google,Pixel 5,211,211,158,23,https://goodbuytech-fr.twigcard.com/devices/Google-Pixel 5-128Go-7353,128Go
137,Huawei,Mate 20,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 20-128Go-7361,128Go
138,Huawei,Mate 20 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 20 Lite-64Go-7369,64Go
139,Huawei,Mate 20 Pro,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 20 Pro-128Go-7377,128Go
140,Huawei,Mate 20 Pro,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 20 Pro-256Go-7381,256Go
141,Huawei,Mate 20 X,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 20 X-128Go-7393,128Go
142,Huawei,Mate 30 Pro,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate 30 Pro-256Go-7401,256Go
143,Huawei,Mate XS 5G,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-Mate XS 5G-512Go-7409,512Go
144,Huawei,P20,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20-64Go-7417,64Go
145,Huawei,P20,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20-128Go-7421,128Go
146,Huawei,P20 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20 Lite-32Go-7433,32Go
147,Huawei,P20 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20 Lite-64Go-7437,64Go
148,Huawei,P20 Pro,41,41,23,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20 Pro-64Go-7449,64Go
149,Huawei,P20 Pro,41,41,23,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20 Pro-128Go-7453,128Go
150,Huawei,P20 Pro,41,41,23,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P20 Pro-256Go-7457,256Go
151,Huawei,P30,82,82,47,2,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30-128Go-7473,128Go
152,Huawei,P30 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30 Lite-128Go-7481,128Go
153,Huawei,P30 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30 Lite-256Go-7485,256Go
154,Huawei,P30 Pro,170,170,123,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30 Pro-128Go-7497,128Go
155,Huawei,P30 Pro,170,170,123,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30 Pro-256Go-7501,256Go
