id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Locked,512,,312,232,50,25
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Unlocked,64,,355,255,60,30
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Unlocked,128,,406,306,60,30
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Unlocked,256,,406,306,60,30
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Locked,64,,255,155,60,30
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Locked,128,,306,206,60,30
936,iPhone 12,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iphone-12BLACK.png5f92a5298e755.png,Locked,256,,306,206,60,30
937,iPhone 12 Mini,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20mini.png5f92a53e26388.png,Unlocked,64,,295,215,60,30
937,iPhone 12 Mini,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20mini.png5f92a53e26388.png,Unlocked,128,,340,240,60,30
937,iPhone 12 Mini,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/12%20mini.png5f92a53e26388.png,Unlocked,256,,365,265,60,30
